ext data,47596210,0,0,0,0,171,79
ext data,47596220,0,0,0,0,168,77
ext data,47596230,0,0,0,0,165,75
ext data,47596240,0,0,0,0,162,73
ext data,47596250,0,0,0,0,159,72
ext data,47596260,0,0,0,0,154,76
ext data,47596270,0,0,0,0,145,84
ext data,47596280,0,0,0,0,137,85
ext data,47596290,0,0,0,0,130,84
ext data,47596300,0,0,0,0,124,81
ext data,47596310,0,0,0,0,122,76
ext data,47596320,0,0,0,0,118,80
ext data,47596330,0,0,0,0,113,85
ext data,47596340,0,0,0,0,104,95
ext data,47596350,0,0,0,0,103,98
ext data,47596360,0,0,0,0,108,80
ext data,47596370,0,0,0,0,108,74
ext data,47596380,0,0,0,0,110,118
ext data,47596390,0,0,0,0,111,179
ext data,47596400,0,0,0,0,113,165
ext data,47596410,0,0,0,0,118,150
ext data,47596420,0,0,0,0,124,135
ext data,47596430,0,0,0,0,125,124
ext data,47596440,0,0,0,0,127,116
ext data,47596450,0,0,0,0,125,118
ext data,47596460,0,0,0,0,117,137
ext data,47596470,0,0,0,0,113,146
ext data,47596480,0,0,0,0,115,129
ext data,47596490,0,0,0,0,113,129
ext data,47596500,0,0,0,0,108,128
ext data,47596510,0,0,0,0,107,137
ext data,47596520,0,0,0,0,111,137
ext data,47596530,0,0,0,0,123,110
ext data,47596540,0,0,0,0,126,98
ext data,47596550,0,0,0,0,131,113
ext data,47596560,0,0,0,0,142,127
ext data,47596570,0,0,0,0,149,133
ext data,47596580,0,0,0,0,151,136
ext data,47596590,0,0,0,0,152,140
ext data,47596600,0,0,0,0,151,116
ext data,47596610,0,0,0,0,150,95
ext data,47596620,0,0,0,0,145,78
ext data,47596630,0,0,0,0,146,66
ext data,47596640,0,0,0,0,146,58
ext data,47596650,0,0,0,0,139,54
ext data,47596660,0,0,0,0,133,49
ext data,47596670,0,0,0,0,127,56
ext data,47596680,0,0,0,0,124,71
ext data,47596690,0,0,0,0,119,84
ext data,47596700,0,0,0,0,117,94
