ts,p1,p2,p3,p4,sum
9650,83,213,0,0,296
9660,79,211,34,21,345
9670,81,207,0,0,288
9680,91,214,9,3,317
9690,84,209,10,7,310
9700,94,213,0,0,307
9710,86,212,34,20,352
9720,83,207,0,0,290
9730,90,214,8,3,315
9740,82,209,10,7,308
9750,91,213,0,0,304
9760,84,212,34,20,350
9770,81,207,0,0,288
9780,87,214,7,2,310
9790,78,209,11,8,306
9800,86,213,0,0,299
9810,81,212,34,20,347
