ts,p1,p2,p3,p4
12410,138,211,0,0
12420,157,226,14,6
12430,130,213,4,4
12440,147,222,0,0
12450,136,219,33,20
12460,126,210,0,0
12470,141,227,14,6
12480,108,213,5,4
12490,118,222,0,0
12500,102,220,33,21
12510,92,210,0,0
12520,108,227,13,6
12530,84,213,5,5
12540,103,222,0,0
12550,94,220,34,20
12560,90,211,0,0
12570,112,227,13,6
12580,86,213,5,5
12590,103,222,0,0
12600,92,220,33,20
12610,87,211,0,0
12620,105,227,13,6
12630,85,214,5,5
12640,109,222,0,0
12650,106,220,33,21
12660,105,211,0,0
12670,131,227,13,6
12680,115,214,6,5
12690,142,222,0,0
12700,136,220,33,21
12710,132,211,0,0
12720,155,227,12,5
12730,136,214,6,5
12740,156,222,0,0
12750,148,220,33,20
12760,142,211,0,0
12770,164,227,12,5
12780,142,214,6,5
12790,161,222,0,0
12800,152,220,33,21
12810,146,211,0,0
12820,166,226,12,5
12830,145,213,6,5
12840,164,222,0,0
12850,156,220,33,20
12860,149,211,0,0
12870,170,227,11,5
12880,149,214,6,5
12890,166,222,0,0
12900,158,220,34,20
12910,151,211,0,0
12920,172,227,11,5
12930,150,214,7,5
12940,169,222,0,0
12950,161,220,33,20
12960,153,211,0,0
12970,174,227,11,5
12980,153,214,7,5
12990,171,222,0,0
13000,163,221,34,20
13010,155,211,0,0
13020,176,227,11,5
13030,155,214,7,6
13040,173,222,0,0
13050,166,221,33,20
13060,158,211,0,0
13070,179,228,11,5
13080,158,214,7,6
13090,176,222,0,0
13100,166,222,34,21
13110,154,210,0,0
13120,176,227,11,4
13130,158,214,8,6
13140,178,222,0,0
13150,166,222,34,20
13160,153,211,0,0
13170,170,227,11,4
13180,147,214,7,6
13190,161,222,0,0
13200,153,221,34,21
13210,144,210,0,0
13220,166,227,10,4
13230,146,213,8,6
13240,165,221,0,0
13250,159,220,34,20
13260,152,209,0,0
13270,174,226,10,4
13280,154,213,8,6
13290,171,220,0,0
13300,165,220,33,20
13310,156,209,0,0
13320,178,226,10,4
13330,156,212,8,6
13340,172,220,0,0
13350,162,220,34,20
13360,147,208,0,0
13370,163,226,9,4
13380,139,212,8,7
13390,153,220,0,0
13400,144,221,34,20
13410,132,209,0,0
13420,152,227,9,4
13430,130,213,8,6
13440,146,222,0,0
13450,142,223,33,20
13460,134,210,0,0
13470,154,228,9,3
13480,134,214,8,7
13490,150,222,0,0
13500,144,223,33,20
13510,136,210,0,0
13520,162,227,9,3
13530,146,214,9,7
13540,168,222,0,0
13550,164,223,33,20
13560,152,211,0,0
13570,167,227,9,3
13580,139,215,9,7
13590,149,222,0,0
13600,121,222,33,20
13610,101,211,0,0
13620,109,226,8,3
13630,86,215,9,7
13640,91,221,0,0
13650,92,222,34,20
13660,88,212,0,0
13670,88,226,8,3
13680,62,216,10,7
13690,73,222,0,0
13700,66,223,34,20
13710,64,213,0,0
13720,77,226,8,3
13730,56,215,10,7
13740,64,221,0,0
13750,51,222,33,20
13760,48,212,0,0
13770,75,225,8,3
13780,66,216,10,8
13790,79,221,0,0
13800,68,222,33,20
13810,61,212,0,0
13820,78,225,7,3
13830,64,216,10,8
13840,82,220,0,0
13850,77,222,33,20
13860,67,213,0,0
13870,86,225,7,2
13880,72,216,11,8
13890,82,221,0,0
13900,66,222,33,20
13910,53,213,0,0
13920,68,225,7,2
13930,55,216,11,8
13940,69,221,0,0
13950,66,222,33,20
13960,62,213,0,0
13970,78,225,7,2
13980,63,216,12,9
13990,72,221,0,0
14000,64,222,33,20
14010,57,213,0,0
14020,75,225,7,2
14030,65,216,12,9
14040,79,221,0,0
14050,73,222,33,20
14060,65,213,0,0
14070,83,225,7,1
14080,71,216,12,9
14090,86,220,0,0
14100,82,223,33,20
14110,76,213,0,0
14120,91,225,7,2
14130,76,216,13,9
14140,91,221,0,0
14150,93,223,33,20
14160,96,213,0,0
14170,119,226,6,1
14180,111,217,13,10
14190,131,222,0,0
14200,129,224,33,20
14210,125,214,0,0
14220,142,226,6,1
14230,128,218,14,10
14240,139,222,0,0
14250,131,224,33,20
14260,123,214,0,0
14270,135,226,5,1
14280,114,217,14,11
14290,121,222,0,0
14300,112,224,33,20
14310,99,214,0,0
14320,111,226,5,1
14330,93,217,14,11
14340,103,222,0,0
14350,93,225,33,20
14360,83,214,0,0
14370,97,226,5,1
14380,84,218,15,11
14390,98,222,0,0
14400,94,224,33,20
14410,85,214,0,0
14420,99,226,5,1
14430,84,217,15,11
14440,95,221,0,0
14450,89,224,33,20
14460,79,213,0,0
14470,94,225,5,1
14480,78,217,16,11
14490,90,221,0,0
14500,88,224,33,19
14510,78,213,0,0
14520,92,226,5,1
14530,77,217,16,12
14540,93,221,0,0
14550,95,224,33,20
14560,92,213,0,0
14570,110,226,5,0
14580,97,218,16,12
